iter	Passed	Remaining
701	11389	4834
702	11396	4814
703	11404	4794
704	11411	4775
705	11419	4755
706	11426	4735
707	11433	4715
708	11440	4695
709	11447	4675
710	11455	4656
711	11462	4636
712	11469	4616
713	11477	4597
714	11484	4577
715	11491	4558
716	11498	4538
717	11505	4518
718	11512	4499
719	11520	4480
720	11527	4460
721	11534	4441
722	11541	4421
723	11548	4402
724	11556	4383
725	11565	4365
726	11572	4345
727	11579	4326
728	11586	4307
729	11593	4288
730	11600	4269
731	11608	4249
732	11615	4230
733	11621	4211
734	11628	4192
735	11636	4173
736	11643	4155
737	11651	4136
738	11657	4117
739	11667	4099
740	11679	4082
741	11686	4063
742	11693	4044
743	11700	4025
744	11707	4007
745	11714	3988
746	11722	3970
747	11729	3951
748	11736	3932
749	11743	3914
750	11750	3895
751	11757	3877
752	11765	3859
753	11772	3840
754	11778	3822
755	11785	3803
756	11793	3785
757	11800	3767
758	11808	3749
759	11815	3731
760	11822	3713
761	11829	3694
762	11836	3676
763	11845	3659
764	11852	3641
765	11860	3623
766	11867	3605
767	11875	3587
768	11882	3569
769	11889	3551
770	11896	3533
771	11903	3515
772	11910	3497
773	11918	3479
774	11925	3462
775	11932	3444
776	11939	3426
777	11947	3409
778	11954	3391
779	11962	3374
780	11970	3356
781	11977	3338
782	11984	3321
783	11992	3303
784	11999	3286
785	12006	3268
786	12013	3251
787	12021	3234
788	12028	3216
789	12037	3199
790	12048	3183
791	12059	3167
792	12068	3150
793	12077	3133
794	12084	3116
795	12091	3098
796	12098	3081
797	12105	3064
798	12112	3047
799	12119	3029
800	12127	3012
801	12134	2995
802	12141	2978
803	12148	2961
804	12156	2944
805	12163	2927
806	12171	2910
807	12178	2893
808	12186	2877
809	12193	2860
810	12200	2843
811	12207	2826
812	12214	2809
813	12222	2792
814	12229	2775
815	12236	2759
816	12243	2742
817	12250	2725
818	12258	2709
819	12265	2692
820	12271	2675
821	12278	2658
822	12294	2644
823	12321	2631
824	12341	2617
825	12358	2603
826	12372	2588
827	12379	2571
828	12386	2555
829	12394	2538
830	12401	2522
831	12408	2505
832	12415	2489
833	12422	2472
834	12429	2456
835	12437	2439
836	12444	2423
837	12451	2407
838	12458	2390
839	12465	2374
840	12472	2358
841	12479	2341
842	12486	2325
843	12494	2309
844	12500	2293
845	12507	2276
846	12515	2260
847	12522	2244
848	12530	2228
849	12538	2212
850	12546	2196
851	12554	2180
852	12563	2165
853	12573	2149
854	12580	2133
855	12588	2117
856	12595	2101
857	12603	2085
858	12610	2069
859	12617	2054
860	12625	2038
861	12633	2022
862	12640	2006
863	12648	1990
864	12655	1975
865	12662	1959
866	12676	1944
867	12683	1928
868	12691	1913
869	12698	1897
870	12706	1881
871	12713	1866
872	12721	1850
873	12728	1834
874	12735	1819
875	12743	1803
876	12750	1788
877	12758	1772
878	12765	1757
879	12773	1741
880	12780	1726
881	12788	1710
882	12796	1695
883	12805	1680
884	12812	1664
885	12820	1649
886	12827	1634
887	12836	1618
888	12843	1603
889	12850	1588
890	12857	1572
891	12865	1557
892	12871	1542
893	12878	1527
894	12886	1511
895	12893	1496
896	12901	1481
897	12908	1466
898	12916	1451
899	12923	1435
900	12931	1420
901	12938	1405
902	12946	1390
903	12953	1375
904	12960	1360
905	12967	1345
906	12975	1330
907	12982	1315
908	12989	1300
909	12996	1285
910	13003	1270
911	13010	1255
912	13017	1240
913	13023	1225
914	13030	1210
915	13037	1195
916	13045	1180
917	13053	1165
918	13060	1151
919	13067	1136
920	13074	1121
921	13091	1107
922	13101	1092
923	13109	1078
924	13116	1063
925	13123	1048
926	13130	1034
927	13138	1019
928	13145	1004
929	13152	990
930	13159	975
931	13167	960
932	13174	946
933	13181	931
934	13188	916
935	13196	902
936	13203	887
937	13210	873
938	13219	858
939	13227	844
940	13234	829
941	13242	815
942	13249	800
943	13257	786
944	13264	771
945	13271	757
946	13278	743
947	13286	728
948	13293	714
949	13303	700
950	13313	685
951	13320	671
952	13328	657
953	13335	643
954	13343	628
955	13352	614
956	13360	600
957	13367	586
958	13374	571
959	13382	557
960	13390	543
961	13397	529
962	13404	515
963	13411	500
964	13418	486
965	13425	472
966	13433	458
967	13440	444
968	13447	430
969	13454	416
970	13461	402
971	13468	387
972	13476	373
973	13483	359
974	13490	345
975	13497	331
976	13504	317
977	13512	303
978	13519	289
979	13526	276
980	13534	262
981	13541	248
982	13549	234
983	13556	220
984	13563	206
985	13571	192
986	13578	178
987	13585	165
988	13593	151
989	13601	137
990	13608	123
991	13615	109
992	13623	96
993	13630	82
994	13637	68
995	13644	54
996	13651	41
997	13658	27
998	13668	13
999	13680	0
